,Date,Round,Home Team,Away Team,Home Score,Away Score,Winner,Season
52,2001-05-13 14:10:00,7,Geelong,Carlton,68,108,Away,2001
53,2001-05-13 14:10:00,7,Collingwood,North Melbourne,97,99,Away,2001
54,2001-05-13 14:10:00,7,Sydney,Brisbane Lions,80,112,Away,2001
55,2001-05-13 16:10:00,7,West Coast,Port Adelaide,50,121,Away,2001
56,2001-05-18 19:40:00,8,Richmond,Adelaide,92,120,Away,2001
57,2001-05-19 13:40:00,8,North Melbourne,St Kilda,138,89,Home,2001
58,2001-05-19 14:10:00,8,Carlton,Brisbane Lions,142,68,Home,2001
59,2001-05-19 14:10:00,8,Hawthorn,West Coast,138,58,Home,2001
60,2001-05-19 19:40:00,8,Port Adelaide,Collingwood,110,119,Away,2001
61,2001-05-20 14:10:00,8,Melbourne,Essendon,79,85,Away,2001
62,2001-05-20 14:10:00,8,Western Bulldogs,Sydney,122,101,Home,2001
63,2001-05-20 16:10:00,8,Fremantle,Geelong,73,95,Away,2001
64,2001-05-25 19:40:00,9,North Melbourne,Carlton,69,82,Away,2001
65,2001-05-26 14:10:00,9,Collingwood,St Kilda,98,80,Home,2001
66,2001-05-26 19:40:00,9,West Coast,Western Bulldogs,77,125,Away,2001
67,2001-05-26 19:40:00,9,Brisbane Lions,Adelaide,122,127,Away,2001
68,2001-05-26 19:40:00,9,Essendon,Hawthorn,122,57,Home,2001
69,2001-05-27 14:10:00,9,Port Adelaide,Melbourne,88,68,Home,2001
70,2001-05-27 14:10:00,9,Sydney,Fremantle,84,65,Home,2001
71,2001-05-27 14:10:00,9,Geelong,Richmond,118,76,Home,2001
72,2001-06-01 19:40:00,10,Western Bulldogs,North Melbourne,79,125,Away,2001
73,2001-06-02 14:10:00,10,Carlton,West Coast,149,30,Home,2001
74,2001-06-02 14:10:00,10,Hawthorn,Port Adelaide,73,116,Away,2001
75,2001-06-02 19:00:00,10,St Kilda,Melbourne,113,144,Away,2001
76,2001-06-02 19:40:00,10,Brisbane Lions,Essendon,102,74,Home,2001
77,2001-06-03 14:10:00,10,Adelaide,Geelong,66,55,Home,2001
78,2001-06-03 14:10:00,10,Collingwood,Sydney,55,73,Away,2001
79,2001-06-03 16:10:00,10,Fremantle,Richmond,46,84,Away,2001
80,2001-06-08 19:40:00,11,St Kilda,Essendon,86,128,Away,2001
